2023-08-11 13:54:28,187 INFO  StartupInfoLogger:51 - [] Starting ManuManagementApplication using Java 17.0.1 with PID 18116 (C:\Users\SHRIRANG\Documents\NewProject\ManuManagement\target\classes started by SHRIRANG in C:\Users\SHRIRANG\Documents\NewProject\ManuManagement)
2023-08-11 13:54:28,191 INFO  SpringApplication:634 - [] No active profile set, falling back to 1 default profile: "default"
2023-08-11 13:54:28,902 INFO  RepositoryConfigurationDelegate:138 - [] Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2023-08-11 13:54:28,962 INFO  RepositoryConfigurationDelegate:208 - [] Finished Spring Data repository scanning in 54 ms. Found 1 MongoDB repository interfaces.
2023-08-11 13:54:29,504 INFO  TomcatWebServer:108 - [] Tomcat initialized with port(s): 9610 (http)
2023-08-11 13:54:29,518 INFO  DirectJDKLog:173 - [] Starting service [Tomcat]
2023-08-11 13:54:29,518 INFO  DirectJDKLog:173 - [] Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-08-11 13:54:29,647 INFO  DirectJDKLog:173 - [] Initializing Spring embedded WebApplicationContext
2023-08-11 13:54:29,648 INFO  ServletWebServerApplicationContext:291 - [] Root WebApplicationContext: initialization completed in 1383 ms
2023-08-11 13:54:29,943 INFO  SLF4JLogger:71 - [] MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.9.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.1+12"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='projectCMS', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@40d52be7, com.mongodb.Jep395RecordCodecProvider@23ad71bf]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.nta43ld.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-pdw8xr-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2023-08-11 13:54:29,949 INFO  SLF4JLogger:71 - [] Adding discovered server ac-onovp5a-shard-00-02.nta43ld.mongodb.net:27017 to client view of cluster
2023-08-11 13:54:29,981 INFO  SLF4JLogger:71 - [] Adding discovered server ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017 to client view of cluster
2023-08-11 13:54:29,982 INFO  SLF4JLogger:71 - [] Adding discovered server ac-onovp5a-shard-00-00.nta43ld.mongodb.net:27017 to client view of cluster
2023-08-11 13:54:30,689 INFO  TomcatWebServer:220 - [] Tomcat started on port(s): 9610 (http) with context path ''
2023-08-11 13:54:30,696 INFO  StartupInfoLogger:57 - [] Started ManuManagementApplication in 3.088 seconds (process running for 4.184)
2023-08-11 13:54:31,084 INFO  SLF4JLogger:71 - [] Monitor thread successfully connected to server with description ServerDescription{address=ac-onovp5a-shard-00-02.nta43ld.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=622162300, setName='atlas-pdw8xr-shard-0', canonicalAddress=ac-onovp5a-shard-00-02.nta43ld.mongodb.net:27017, hosts=[ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017, ac-onovp5a-shard-00-00.nta43ld.mongodb.net:27017, ac-onovp5a-shard-00-02.nta43ld.mongodb.net:27017], passives=[], arbiters=[], primary='ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=11, topologyVersion=TopologyVersion{processId=64cbe29f222c5a7a32b45163, counter=3}, lastWriteDate=Fri Aug 11 13:54:31 IST 2023, lastUpdateTimeNanos=159155239831900}
2023-08-11 13:54:31,084 INFO  SLF4JLogger:71 - [] Monitor thread successfully connected to server with description ServerDescription{address=ac-onovp5a-shard-00-00.nta43ld.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=616298000, setName='atlas-pdw8xr-shard-0', canonicalAddress=ac-onovp5a-shard-00-00.nta43ld.mongodb.net:27017, hosts=[ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017, ac-onovp5a-shard-00-00.nta43ld.mongodb.net:27017, ac-onovp5a-shard-00-02.nta43ld.mongodb.net:27017], passives=[], arbiters=[], primary='ac-onovp5a-shard-00-01.nta43ld.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=11, topologyVersion=TopologyVersion{processId=64cbdeb6964d55626875bfc5, counter=4}, lastWriteDate=Fri Aug 11 13:54:31 IST 2023, lastUpdateTimeNanos=159155239829400}
